route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
173301,20193012multint-1111100,65206392-20193012multint-1111100,"Univ.Laval/Cégep Garneau (Sud)",,1,,33010409,2
170940,20193012multint-1111100,65206949-20193012multint-1111100,"Saint-Augustin (Ouest)",,1,,09400198,2
170940,20193012multint-1111100,65206933-20193012multint-1111100,"Cégep Garneau / Place Jacques-Cartier (Est)",,0,,09400196,2
170940,20193012multint-1111100,65206951-20193012multint-1111100,"Saint-Augustin (Ouest)",,1,,09400198,2
170940,20193012multint-1111100,65206935-20193012multint-1111100,"Cégep Garneau / Place Jacques-Cartier (Est)",,0,,09400196,2
172501,20193012multint-1111100,65205030-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,25010455,2
175361,20193012multint-1111100,65207607-20193012multint-1111100,"Sainte-Foy Centre (Sud)",,1,,53610052,2
171149,20193012multint-1111100,65207127-20193012multint-1111100,"Collège des Compagnons (Est)",,0,,11490014,2
170333,20193012multint-1111100,65208443-20193012multint-1111100,"Parc industriel Charlesbourg (Nord)",,0,,03330039,2
172891,20193012multint-1111100,65205094-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,28910183,2
172541,20193012multint-1111100,65204933-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,25410348,2
172891,20193012multint-1111100,65205086-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,28910183,1
175721,20193012multint-1111100,65208297-20193012multint-1111100,"Sainte-Foy Centre (Sud)",,1,,57210041,2
170160,20193012multint-1111100,65208309-20193012multint-1111100,"U. Laval / Sillery / Sainte-Foy Centre (Ouest)",,1,,01600369,2
170700,20193012multint-1111100,65207016-20193012multint-1111100,"Val-Bélair (Nord)",,0,,07000053,2
170740,20193012multint-1111100,65204455-20193012multint-1111100,"Place Jacques-Cartier (Sud)",,1,,07400303,2
173371,20193012multint-1111100,65207205-20193012multint-1111100,"Univ.Laval/Cégep Garneau (Sud)",,1,,33710178,2
172921,20193012multint-1111100,65204328-20193012multint-1111100,"Place Jacques-Cartier (Est)",,0,,29210013,1
175371,20193012multint-1111100,65207602-20193012multint-1111100,"Sainte-Foy Centre (Sud)",,1,,53710074,2
173321,20193012multint-1111100,65207636-20193012multint-1111100,"Saint-Rodrigue (Nord)",,0,,33210123,2
175301,20193012multint-1111100,65207613-20193012multint-1111100,"Sainte-Foy Centre (Sud)",,1,,53010109,2
171799,20193012multint-1111100,65207137-20193012multint-1111100,"École sec. Polyvalente L'Ancienne-Lorette (Sud)",,1,,17990021,2
170720,20193012multint-1111100,65208545-20193012multint-1111100,"Terminus Charlesbourg (Est)",,0,,07200326,2
170720,20193012multint-1111100,65208577-20193012multint-1111100,"Loretteville (Ouest)",,1,,07200323,2
173771,20193012multint-1111100,65206860-20193012multint-1111100,"Univ.Laval/Cégep Garneau (Sud)",,1,,37710270,2
172801,20193012multint-1111100,65205191-20193012multint-1111100,"Place Jacques-Cartier / colline Parlementaire (Sud)",,1,,28010227,2
172391,20193012multint-1111100,65205057-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,23910031,2
170770,20193012multint-1111100,65206880-20193012multint-1111100,"Val-Bélair (Nord)",,0,,07700311,2
172771,20193012multint-1111100,65205234-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,27710295,2
170800,20193012multint-1111100,65206478-20193012multint-1111100,"Aéroport international Jean-Lesage (Nord)",,0,,08000579,2
170800,20193012multint-1111100,65206450-20193012multint-1111100,"Place Jacques-Cartier (Sud)",,1,,08000578,2
170820,20193012multint-1111100,65205617-20193012multint-1111100,"Lac-Saint-Charles (Nord)",,0,,08200492,2
172811,20193012multint-1111100,65205155-20193012multint-1111100,"Colline Parlementaire (Sud)",,1,,28110201,2
